Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
{'arch': 'resnet', 'block_name': 'BasicBlock', 'cardinality': 8, 'change_lr': False, 'change_opti': False, 'checkpoint': None, 'ckpt_interval': 10, 'clip_grad': 10, 'clip_norm': 2, 'compressionRate': 2, 'dataset': 'cifar10', 'debug_mode': False, 'depth': 20, 'diatance': 'l_inf', 'drop': 0.0, 'epochs': 300, 'epsilon': 0.031, 'evaluate': False, 'gamma': 0.1, 'gpu_id': '3', 'growthRate': 12, 'lambada': 0.03, 'lr': 0.1, 'manualSeed': 1000, 'method': 'LFR', 'momentum': 0.9, 'mu': 1.0, 'nlabel': 50000, 'norm': 'l_inf', 'num_steps': 10, 'opt_g_gamma': 0.1, 'opt_g_lr': 0.1, 'opt_g_schedule': [100, 150, 200], 'opt_g_weight_decay': 0.0002, 'optimizer_type': 'SGD', 'penalty_type': 'grad', 'q': 1.0, 'resume': '', 'save_dir': '0503dc_cifar10', 'schedule': [150, 250], 'start_epoch': 0, 'step_size': 0.007, 'test_batch': 128, 'train_batch': 128, 'weight_decay': 0.0002, 'widen_factor': 6, 'workers': 4}
0.100000	2.197249	1.900319	24.084000	30.430000	
0.100000	2.109737	1.821961	30.304000	34.720000	
0.100000	2.084850	1.958977	32.886000	28.910000	
0.100000	2.069301	1.910044	34.744000	28.480000	
0.100000	2.056116	1.756054	36.200000	37.450000	
0.100000	2.044073	1.728722	37.408000	38.370000	
0.100000	2.037061	1.694290	37.870000	40.310000	
0.100000	2.034538	1.750105	38.224000	38.700000	
0.100000	2.024791	1.719693	39.384000	39.640000	
0.100000	2.024728	1.817038	39.134000	36.040000	
0.100000	2.019037	1.693931	39.876000	41.000000	
0.100000	2.016358	1.723670	40.300000	37.180000	
0.100000	2.014429	1.814245	40.596000	34.610000	
0.100000	2.009107	1.703354	40.680000	41.940000	
0.100000	2.009686	1.692279	40.382000	44.090000	
0.100000	2.003025	1.634219	41.030000	45.010000	
0.100000	2.004158	1.718469	40.718000	38.420000	
0.100000	2.002860	1.709153	41.038000	39.600000	
0.100000	1.999286	1.678612	41.264000	40.940000	
0.100000	1.995281	1.683736	41.410000	41.170000	
0.100000	1.994111	1.751483	41.486000	38.410000	
0.100000	1.995789	1.651613	41.618000	40.050000	
0.100000	1.997452	1.660872	41.604000	43.060000	
0.100000	1.990024	1.664552	42.446000	40.520000	
0.100000	1.990511	1.642369	42.358000	42.670000	
0.100000	1.987921	1.612512	42.282000	44.460000	
0.100000	1.994668	1.659815	42.268000	40.420000	
0.100000	1.991341	1.613439	42.316000	45.330000	
0.100000	1.987371	1.683428	42.596000	35.800000	
0.100000	1.982651	1.649256	42.462000	43.700000	
0.100000	1.982895	1.668943	42.948000	40.690000	
0.100000	1.981562	1.658345	43.052000	42.140000	
0.100000	1.982255	1.587207	42.950000	45.660000	
0.100000	1.974136	1.678295	43.582000	40.600000	
0.100000	1.978308	1.606768	42.752000	42.250000	
0.100000	1.978654	1.619535	43.306000	41.940000	
0.100000	1.974985	1.676241	43.284000	38.640000	
0.100000	1.977814	1.567417	43.166000	46.750000	
0.100000	1.972154	1.661734	43.382000	40.940000	
0.100000	1.977650	1.659589	42.644000	43.270000	
0.100000	1.976636	1.710873	43.064000	44.700000	
0.100000	1.970977	1.617482	43.538000	42.600000	
0.100000	1.974351	1.566601	43.680000	45.870000	
0.100000	1.979973	1.635960	42.966000	42.710000	
0.100000	1.970802	1.592864	43.794000	41.600000	
0.100000	1.973664	1.596970	43.284000	45.500000	
0.100000	1.972592	1.692293	43.660000	38.080000	
0.100000	1.964562	1.570056	44.576000	46.140000	
0.100000	1.973719	1.625727	43.860000	44.890000	
0.100000	1.984828	1.597216	42.534000	44.450000	
0.100000	1.973812	1.614521	43.098000	44.060000	
0.100000	1.974959	1.696370	43.470000	36.440000	
0.100000	1.966838	1.511699	44.066000	47.610000	
0.100000	1.971037	1.680926	43.980000	44.770000	
0.100000	1.966513	1.600078	44.006000	44.480000	
0.100000	1.970273	1.591928	43.936000	42.450000	
0.100000	1.971255	1.573915	43.544000	46.140000	
0.100000	1.970011	1.582879	43.838000	45.240000	
0.100000	1.966327	1.541960	43.972000	46.120000	
0.100000	1.968875	1.578911	44.084000	47.120000	
0.100000	1.965515	1.655115	44.470000	42.700000	
0.100000	1.966516	1.602616	44.338000	45.530000	
0.100000	1.965020	1.601183	44.596000	45.200000	
0.100000	1.966275	1.566339	44.184000	44.800000	
0.100000	1.961523	1.616564	44.470000	44.390000	
0.100000	1.965915	1.599703	43.934000	40.860000	
0.100000	1.965260	1.719434	44.242000	37.920000	
0.100000	1.965690	1.602761	44.192000	42.490000	
0.100000	1.969168	1.655391	44.070000	38.930000	
0.100000	1.967504	1.632900	43.848000	44.090000	
0.100000	1.972361	1.621291	43.800000	44.200000	
0.100000	1.966028	1.650031	44.252000	42.040000	
0.100000	1.962979	1.576471	44.614000	47.490000	
0.100000	1.961111	1.632788	44.420000	40.870000	
0.100000	1.966651	1.594459	44.172000	44.310000	
0.100000	1.960602	1.744898	44.318000	41.760000	
0.100000	1.977034	1.563859	43.698000	48.800000	
0.100000	1.967538	1.543500	44.296000	48.160000	
0.100000	2.025237	1.797525	39.682000	36.810000	
0.100000	2.005245	1.616094	42.184000	44.900000	
0.100000	1.993307	1.600756	42.942000	44.520000	
0.100000	1.985231	1.588787	43.314000	44.770000	
0.100000	1.978940	1.592450	44.168000	45.110000	
0.100000	1.982486	1.626062	43.622000	45.960000	
0.100000	1.975624	1.590692	44.014000	48.310000	
0.100000	1.974987	1.604999	44.242000	44.480000	
0.100000	1.976233	1.700501	43.868000	41.710000	
0.100000	1.974267	1.632774	44.010000	46.570000	
0.100000	1.966607	1.617763	44.338000	43.700000	
0.100000	1.973346	1.673506	43.894000	40.800000	
0.100000	1.968243	1.682631	44.284000	42.880000	
0.100000	1.967976	1.591393	44.374000	45.370000	
0.100000	1.973578	1.613103	43.928000	44.790000	
0.100000	1.965609	1.545290	44.304000	45.840000	
0.100000	1.970957	1.594410	43.928000	43.620000	
0.100000	1.972747	1.567332	44.298000	46.590000	
0.100000	1.972353	1.590858	43.832000	44.960000	
0.100000	1.967595	1.609780	44.368000	44.600000	
0.100000	1.963937	1.718564	44.486000	41.800000	
0.100000	1.989509	1.653504	42.826000	40.250000	
